Designator,Mid X,Mid Y,Rotation,Layer
C1,78.0,-96.0,0.0,top
C10,58.98535,-73.675,0.0,top
C11,70.23535,-70.425,90.0,top
C12,77.05,-71.0,0.0,top
C13,73.0,-71.5,0.0,top
C14,74.8,-130.2,270.0,top
C15,69.5,-136.5,180.0,top
C16,66.5,-137.0,270.0,top
C17,63.0,-102.95,270.0,top
C18,60.5,-103.5,270.0,top
C19,55.5,-103.5,270.0,top
C2,60.23535,-78.175,270.0,top
C20,58.0,-103.45,270.0,top
C21_2,53.85,-100.5,180.0,top
C21,50.0,-97.5,180.0,top
C22,50.5,-103.45,270.0,top
C23,53.0,-103.5,270.0,top
C24,51.5,-95.0,180.0,top
C25,86.05,-143.8,180.0,top
C26,86.05,-146.3,180.0,top
C27,82.3,-144.7,0.0,top
C28,83.5,-139.75,180.0,top
C29,76.8,-136.5,0.0,top
C3,60.5,-92.5,270.0,top
C30,76.8,-133.0,0.0,top
C4,67.48535,-73.175,0.0,top
C5,80.98535,-75.175,270.0,top
C6,77.0,-73.5,180.0,top
C7,78.05,-99.5,0.0,top
C8,64.98535,-70.675,0.0,top
C9,64.98535,-67.675,0.0,top
D1,71.0,-123.5,180.0,top
D2,84.5,-91.5,180.0,top
FB1,62.98535,-73.675,0.0,top
H1,52.0,-65.5,0.0,top
H2,94.0,-65.5,0.0,top
H3,94.0,-144.5,0.0,top
H4,52.0,-144.5,0.0,top
J1,73.0,-143.75,0.0,top
J10,93.0,-121.0,90.0,top
J11,56.05465,-118.98,270.0,top
J12,56.05465,-123.57,270.0,top
J13,56.05465,-128.16,270.0,top
J14,56.05465,-132.75,270.0,top
J15,56.01465,-110.0,270.0,top
J2,57.24465,-137.75,90.0,top
J3,56.05465,-114.39,270.0,top
J4,89.98535,-76.425,90.0,top
J5,90.04535,-80.675,90.0,top
J6,51.25,-84.115,0.0,top
J7,93.0,-133.5,90.0,top
J8,92.9675,-95.75,90.0,top
J9,92.9675,-108.25,90.0,top
L1,86.3125,-137.25,180.0,top
R1,81.98535,-72.175,0.0,top
R10,82.98535,-85.175,90.0,top
R11,84.25,-103.25,90.0,top
R12,85.1625,-106.25,180.0,top
R13,83.75,-118.75,180.0,top
R14,83.25,-115.4125,90.0,top
R15,84.5,-132.25,180.0,top
R16,83.0,-128.9125,90.0,top
R17,81.5,-90.5,90.0,top
R2,65.5,-141.5,0.0,top
R3,65.5,-145.0,0.0,top
R5,72.0,-120.5,270.0,top
R6,80.2,-140.8,270.0,top
R7,78.0,-130.0,270.0,top
R8,81.25,-133.0875,270.0,top
R9,82.98535,-81.175,90.0,top
SW1,86.98535,-71.925,180.0,top
U1,71.5,-84.175,180.0,top
U2,68.5,-129.5,270.0,top
U3,63.7935,-97.250001,180.0,top
U4,58.0,-97.5,0.0,top
U5,53.5,-97.5,270.0,top
U6,82.5,-137.0,0.0,top
U7,85.25,-99.0,180.0,top
U8,84.0,-111.0,180.0,top
U9,84.25,-124.6938,180.0,top
Y1,74.5,-65.5,180.0,top
